issue_d,loan_amnt,int_rate,grade,sub_grade,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,total_acc,revol_bal,revol_util,loan_status,default_ind,age_of_loan_months,term_months,emp_length_num,emp_length_num_missing
2018-03-01,15000.0,7.34,A,A4,MORTGAGE,66060.0,Not Verified,credit_card,IN,9.16,0.0,1.0,9.0,18.0,19709.0,34.9,Current,0,10,36,10,0
2017-07-01,4000.0,7.97,A,A5,OWN,72000.0,Not Verified,debt_consolidation,TX,12.62,0.0,0.0,9.0,22.0,12187.0,40.4,Fully Paid,0,18,36,2,0
2016-09-01,18000.0,10.49,B,B3,RENT,90000.0,Source Verified,credit_card,MA,32.35,0.0,1.0,29.0,34.0,45677.0,37.3,Current,0,28,36,0,0
2016-07-01,8000.0,13.99,C,C3,RENT,33000.0,Source Verified,other,OH,32.07,0.0,1.0,8.0,37.0,7.0,0.3,Charged Off,1,30,36,2,0
2015-04-01,13875.0,25.57,F,F5,MORTGAGE,35000.0,Not Verified,debt_consolidation,RI,19.38,0.0,1.0,9.0,18.0,7666.0,76.7,Charged Off,1,45,60,10,0
2015-03-01,35000.0,13.33,C,C3,RENT,134000.0,Verified,debt_consolidation,WI,18.44,0.0,0.0,8.0,31.0,23258.0,86.1,Fully Paid,0,46,60,2,0
2016-11-01,20000.0,13.49,C,C2,RENT,115000.0,Verified,debt_consolidation,PA,19.21,0.0,1.0,15.0,22.0,19864.0,44.1,Fully Paid,0,26,36,3,0
2015-12-01,6000.0,8.38,B,B1,RENT,46000.0,Source Verified,credit_card,AR,14.74,0.0,1.0,19.0,35.0,10733.0,30.3,Fully Paid,0,37,36,10,0
2018-06-01,21500.0,17.47,D,D1,RENT,48000.0,Verified,debt_consolidation,CA,32.63,0.0,1.0,13.0,21.0,2697.0,6.8,Current,0,7,60,7,0
2015-07-01,7500.0,5.32,A,A1,RENT,65000.0,Source Verified,credit_card,CT,16.49,0.0,3.0,21.0,43.0,555.0,4.5,Fully Paid,0,42,36,3,0
2016-12-01,14400.0,11.44,B,B4,RENT,70000.0,Not Verified,credit_card,IN,18.77,0.0,0.0,7.0,21.0,15548.0,94.2,Current,0,25,36,9,0
2018-05-01,8000.0,21.85,D,D5,MORTGAGE,65000.0,Source Verified,debt_consolidation,NY,38.48,1.0,0.0,14.0,28.0,12509.0,81.2,Current,0,8,36,10,0
2018-04-01,10000.0,7.34,A,A4,MORTGAGE,75000.0,Not Verified,credit_card,NY,32.14,0.0,1.0,24.0,38.0,25891.0,37.0,Current,0,9,36,10,0
2015-04-01,15400.0,12.69,C,C2,OWN,73000.0,Source Verified,major_purchase,CA,18.33,0.0,0.0,9.0,32.0,725.0,4.4,Charged Off,1,45,60,10,0
2015-02-01,24000.0,18.84,E,E2,RENT,80000.0,Source Verified,debt_consolidation,MD,12.18,0.0,1.0,25.0,41.0,11921.0,58.2,Fully Paid,0,47,60,1,0
2018-04-01,2600.0,6.07,A,A2,RENT,72000.0,Not Verified,credit_card,TN,19.48,0.0,0.0,13.0,42.0,5110.0,11.0,Current,0,9,36,10,0
2015-01-01,9600.0,6.03,A,A1,RENT,48000.0,Source Verified,debt_consolidation,AR,27.98,0.0,0.0,12.0,19.0,9218.0,41.3,Fully Paid,0,48,36,6,0
2016-01-01,13000.0,8.49,B,B1,MORTGAGE,63000.0,Not Verified,debt_consolidation,NC,21.1,1.0,0.0,10.0,31.0,8245.0,67.6,Fully Paid,0,36,36,5,0
2015-02-01,3000.0,10.99,B,B4,MORTGAGE,58000.0,Source Verified,credit_card,WI,23.01,1.0,1.0,13.0,30.0,3179.0,49.7,Fully Paid,0,47,36,10,0
2017-09-01,3000.0,9.44,B,B1,RENT,40000.0,Source Verified,debt_consolidation,ND,19.5,0.0,0.0,11.0,13.0,1951.0,12.3,Current,0,16,36,4,0
2015-09-01,10000.0,11.53,B,B5,RENT,65000.0,Source Verified,debt_consolidation,WA,15.82,0.0,1.0,6.0,23.0,12422.0,71.8,Fully Paid,0,40,60,1,0
2015-09-01,27450.0,19.19,E,E3,MORTGAGE,78000.0,Source Verified,debt_consolidation,TX,27.0,0.0,1.0,11.0,38.0,35016.0,76.0,Charged Off,1,40,60,3,0
2017-03-01,12000.0,8.24,B,B1,OWN,88000.0,Source Verified,debt_consolidation,GA,20.35,1.0,0.0,10.0,30.0,3519.0,37.8,Current,0,22,36,1,0
2016-11-01,4000.0,14.99,C,C4,RENT,26400.0,Source Verified,other,CA,18.27,0.0,1.0,7.0,7.0,3646.0,41.9,Late (31-120 days),1,26,36,2,0
2016-02-01,17200.0,21.97,E,E4,MORTGAGE,55000.0,Verified,debt_consolidation,MO,9.56,0.0,0.0,10.0,27.0,14187.0,47.1,Fully Paid,0,35,60,10,0
2016-06-01,11200.0,5.32,A,A1,RENT,50000.0,Not Verified,debt_consolidation,NJ,9.72,0.0,0.0,7.0,17.0,5799.0,30.7,Fully Paid,0,31,36,8,0
2016-06-01,2400.0,13.99,C,C3,MORTGAGE,30000.0,Source Verified,medical,NC,16.68,0.0,1.0,8.0,12.0,8649.0,40.8,Current,0,31,36,10,0
2015-05-01,12000.0,7.26,A,A4,RENT,73000.0,Not Verified,credit_card,NY,7.97,3.0,0.0,5.0,20.0,15286.0,82.2,Fully Paid,0,44,36,1,0
2016-03-01,8700.0,10.75,B,B4,MORTGAGE,55000.0,Source Verified,credit_card,FL,14.82,0.0,0.0,8.0,16.0,18503.0,61.0,Fully Paid,0,34,36,10,0
2015-04-01,11200.0,16.55,D,D2,MORTGAGE,50000.0,Source Verified,debt_consolidation,WA,32.05,0.0,0.0,16.0,31.0,12040.0,30.6,Charged Off,1,45,60,2,0
2016-08-01,16800.0,21.49,D,D5,RENT,40000.0,Verified,debt_consolidation,AL,26.4,0.0,0.0,7.0,24.0,10096.0,45.1,Current,0,29,60,10,0
2015-07-01,24000.0,7.89,A,A5,MORTGAGE,166000.0,Source Verified,debt_consolidation,MI,29.66,0.0,0.0,20.0,39.0,89781.0,75.3,Fully Paid,0,42,36,10,0
2016-02-01,20000.0,13.67,C,C3,RENT,66000.0,Verified,credit_card,CA,10.54,0.0,0.0,8.0,19.0,18935.0,85.7,Current,0,35,60,9,0
2017-11-01,25000.0,10.42,B,B3,MORTGAGE,55000.0,Not Verified,debt_consolidation,PA,30.63,0.0,3.0,12.0,37.0,11109.0,25.6,Current,0,14,60,10,0
2016-07-01,40000.0,7.99,A,A4,MORTGAGE,165000.0,Verified,debt_consolidation,TN,10.89,0.0,0.0,17.0,30.0,24403.0,28.2,Current,0,30,36,1,0
2018-03-01,16000.0,13.58,C,C2,RENT,70000.0,Not Verified,car,HI,27.65,0.0,0.0,7.0,24.0,10700.0,56.9,Current,0,10,60,10,0
2018-12-01,20000.0,12.98,B,B5,RENT,92000.0,Source Verified,debt_consolidation,NY,14.19,0.0,0.0,6.0,8.0,9582.0,99.8,Current,0,1,60,4,0
2017-05-01,12000.0,7.49,A,A4,OWN,78000.0,Source Verified,credit_card,NE,7.4,0.0,1.0,14.0,39.0,22620.0,34.6,Fully Paid,0,20,36,10,0
2017-02-01,7500.0,15.99,C,C5,MORTGAGE,56000.0,Source Verified,debt_consolidation,MN,21.41,0.0,0.0,11.0,18.0,11956.0,46.9,Fully Paid,0,23,36,2,0
2015-02-01,3200.0,13.66,C,C3,OWN,60000.0,Not Verified,other,KY,34.6,0.0,1.0,11.0,54.0,3019.0,26.0,Fully Paid,0,47,36,5,0
2016-11-01,5000.0,11.49,B,B5,RENT,48000.0,Source Verified,credit_card,OH,28.88,0.0,1.0,13.0,29.0,7388.0,38.1,Fully Paid,0,26,36,3,0
2018-02-01,35000.0,6.72,A,A3,OWN,105000.0,Source Verified,house,NC,10.58,1.0,0.0,8.0,11.0,1601.0,4.1,Charged Off,1,11,36,5,0
2016-12-01,16000.0,15.99,C,C5,MORTGAGE,130000.0,Not Verified,home_improvement,TX,33.7,0.0,0.0,21.0,44.0,11730.0,49.1,Current,0,25,60,5,0
2015-12-01,19800.0,15.41,D,D1,OWN,45000.0,Source Verified,credit_card,CT,23.74,0.0,0.0,17.0,23.0,13258.0,40.9,Fully Paid,0,37,36,2,0
2018-02-01,10000.0,7.97,A,A5,MORTGAGE,126000.0,Not Verified,credit_card,MD,19.51,0.0,0.0,9.0,27.0,29391.0,83.7,Fully Paid,0,11,36,9,0
2017-05-01,6000.0,13.49,C,C2,RENT,32000.0,Source Verified,credit_card,AZ,8.21,0.0,1.0,4.0,7.0,6046.0,65.0,Current,0,20,36,2,0
2017-11-01,28500.0,11.99,B,B5,RENT,25536.0,Source Verified,debt_consolidation,IN,33.88,0.0,0.0,19.0,27.0,1399.0,2.6,Current,0,14,60,0,0
2015-12-01,10000.0,9.17,B,B2,RENT,52000.0,Not Verified,debt_consolidation,LA,22.92,0.0,0.0,7.0,23.0,7088.0,56.7,Fully Paid,0,37,36,9,0
2016-11-01,10000.0,14.99,C,C4,MORTGAGE,63000.0,Source Verified,other,MI,14.88,0.0,0.0,6.0,12.0,14125.0,72.4,Current,0,26,60,10,0
2018-04-01,11500.0,12.61,C,C1,MORTGAGE,75000.0,Source Verified,major_purchase,GA,19.99,1.0,0.0,8.0,27.0,21623.0,91.6,Current,0,9,60,1,0
2015-07-01,23000.0,18.25,E,E1,MORTGAGE,70000.0,Source Verified,home_improvement,IL,14.86,0.0,2.0,9.0,22.0,33890.0,80.5,Fully Paid,0,42,60,6,0
2016-03-01,6800.0,11.47,B,B5,RENT,17000.0,Not Verified,credit_card,TX,21.4,0.0,2.0,16.0,43.0,8916.0,36.0,Fully Paid,0,34,36,10,0
2017-04-01,20000.0,8.24,B,B1,RENT,101723.0,Not Verified,debt_consolidation,TX,26.01,0.0,0.0,19.0,31.0,24237.0,40.9,Current,0,21,36,10,0
2017-04-01,8000.0,14.99,C,C4,MORTGAGE,54000.0,Verified,debt_consolidation,CO,22.16,0.0,0.0,7.0,9.0,11950.0,86.0,Fully Paid,0,21,36,3,0
2018-02-01,11000.0,11.99,B,B5,OWN,55000.0,Source Verified,debt_consolidation,SC,31.92,1.0,2.0,22.0,36.0,17815.0,23.0,Current,0,11,36,1,0
2017-07-01,30000.0,10.91,B,B4,RENT,112500.0,Source Verified,debt_consolidation,CA,26.23,0.0,0.0,19.0,25.0,32481.0,57.8,Fully Paid,0,18,36,3,0
2018-09-01,8000.0,11.55,B,B4,MORTGAGE,51500.0,Not Verified,home_improvement,TX,22.14,0.0,0.0,13.0,24.0,24128.0,71.6,Fully Paid,0,4,36,5,0
2018-01-01,5000.0,10.42,B,B3,RENT,50000.0,Not Verified,debt_consolidation,NH,24.34,1.0,0.0,9.0,26.0,9127.0,38.5,Current,0,12,36,8,0
2017-10-01,25000.0,10.42,B,B3,OWN,85500.0,Not Verified,debt_consolidation,NV,9.52,0.0,2.0,11.0,20.0,2587.0,10.7,Current,0,15,60,10,1
2018-09-01,12000.0,11.55,B,B4,RENT,91000.0,Source Verified,debt_consolidation,NY,3.44,0.0,1.0,3.0,5.0,7524.0,62.7,Current,0,4,36,10,0
2017-02-01,15000.0,16.99,D,D1,MORTGAGE,35000.0,Verified,credit_card,AL,24.14,1.0,0.0,8.0,27.0,17160.0,78.0,Charged Off,1,23,60,10,1
2018-08-01,16000.0,6.11,A,A1,MORTGAGE,109000.0,Not Verified,credit_card,TN,13.09,1.0,0.0,14.0,45.0,21038.0,38.7,Current,0,5,36,2,0
2015-12-01,10300.0,12.59,C,C2,MORTGAGE,67200.0,Verified,credit_card,AZ,22.32,0.0,3.0,6.0,41.0,12229.0,67.0,Fully Paid,0,37,60,10,0
2016-03-01,24000.0,11.99,C,C1,MORTGAGE,167000.0,Verified,home_improvement,NJ,13.54,0.0,0.0,8.0,10.0,6916.0,19.6,Fully Paid,0,34,36,4,0
2017-07-01,10000.0,12.62,C,C1,RENT,40000.0,Source Verified,credit_card,TX,30.84,0.0,0.0,10.0,11.0,12469.0,50.5,Current,0,18,36,9,0
2016-06-01,7000.0,6.49,A,A2,MORTGAGE,35000.0,Source Verified,credit_card,FL,25.72,0.0,0.0,9.0,20.0,8905.0,38.5,Current,0,31,36,4,0
2016-01-01,11000.0,18.49,D,D5,RENT,49000.0,Not Verified,debt_consolidation,NY,29.95,0.0,0.0,10.0,12.0,27743.0,96.3,Charged Off,1,36,60,5,0
2016-06-01,10000.0,5.32,A,A1,MORTGAGE,43000.0,Not Verified,credit_card,AL,6.0,0.0,0.0,9.0,16.0,6360.0,31.0,Fully Paid,0,31,36,8,0
2018-03-01,15000.0,9.92,B,B2,RENT,28000.0,Not Verified,home_improvement,FL,34.98,0.0,1.0,5.0,6.0,1013.0,17.2,Current,0,10,36,5,0
2018-09-01,25000.0,10.47,B,B2,MORTGAGE,78000.0,Source Verified,debt_consolidation,PA,8.82,0.0,0.0,13.0,16.0,10091.0,23.2,Current,0,4,60,8,0
2017-09-01,24000.0,21.45,D,D5,RENT,76000.0,Source Verified,medical,CA,28.88,0.0,1.0,12.0,24.0,17062.0,86.2,Charged Off,1,16,60,10,0
2016-03-01,35000.0,19.53,D,D5,RENT,130000.0,Source Verified,debt_consolidation,WA,14.3,0.0,2.0,9.0,34.0,15951.0,39.4,Fully Paid,0,34,36,3,0
2018-07-01,12000.0,10.47,B,B2,MORTGAGE,62000.0,Source Verified,debt_consolidation,GA,18.25,0.0,0.0,8.0,23.0,7583.0,34.3,Current,0,6,60,10,0
2016-03-01,5000.0,11.47,B,B5,RENT,48800.0,Source Verified,car,VA,0.98,1.0,0.0,5.0,12.0,1489.0,27.6,Current,0,34,36,2,0
2018-02-01,35000.0,21.45,D,D5,RENT,76596.0,Verified,debt_consolidation,TX,21.87,0.0,1.0,11.0,15.0,29946.0,59.0,Fully Paid,0,11,60,0,0
2016-09-01,20000.0,18.99,D,D3,MORTGAGE,50000.0,Verified,debt_consolidation,OK,21.84,2.0,0.0,12.0,36.0,6768.0,47.7,Current,0,28,60,10,0
2015-10-01,28500.0,17.86,D,D5,MORTGAGE,57000.0,Source Verified,debt_consolidation,PA,31.47,0.0,0.0,17.0,29.0,32797.0,69.9,Current,0,39,60,9,0
2018-08-01,10000.0,11.55,B,B4,MORTGAGE,134400.0,Not Verified,home_improvement,NH,30.51,0.0,1.0,18.0,34.0,58672.0,74.6,Current,0,5,36,0,0
2016-05-01,8000.0,9.75,B,B3,MORTGAGE,80000.0,Source Verified,debt_consolidation,NV,35.15,0.0,0.0,13.0,50.0,38614.0,79.8,Fully Paid,0,32,36,6,0
2016-02-01,5000.0,11.47,B,B5,OWN,26000.0,Source Verified,debt_consolidation,IL,8.63,0.0,1.0,8.0,11.0,4687.0,37.8,Fully Paid,0,35,36,3,0
2018-08-01,3000.0,16.91,C,C5,RENT,52000.0,Not Verified,moving,CA,26.86,0.0,0.0,9.0,20.0,23813.0,64.9,Current,0,5,36,10,0
2018-01-01,8000.0,12.62,C,C1,MORTGAGE,35000.0,Source Verified,debt_consolidation,LA,18.07,1.0,0.0,13.0,22.0,10216.0,31.1,Current,0,12,36,10,0
2017-04-01,24000.0,14.99,C,C4,RENT,178000.0,Source Verified,credit_card,NY,6.68,0.0,1.0,10.0,12.0,14871.0,57.0,Current,0,21,36,2,0
2015-10-01,25200.0,6.89,A,A3,MORTGAGE,280000.0,Source Verified,medical,TX,7.7,0.0,0.0,8.0,16.0,15822.0,91.5,Fully Paid,0,39,36,6,0
2018-07-01,10000.0,15.02,C,C3,OWN,45000.0,Not Verified,debt_consolidation,FL,25.2,0.0,0.0,15.0,41.0,10175.0,13.8,Current,0,6,60,10,0
2018-09-01,4000.0,16.91,C,C5,RENT,55000.0,Source Verified,debt_consolidation,AL,11.74,0.0,0.0,6.0,9.0,10868.0,100.0,Current,0,4,36,10,0
2015-01-01,26100.0,8.67,B,B1,MORTGAGE,280000.0,Source Verified,debt_consolidation,FL,11.46,0.0,0.0,17.0,45.0,5443.0,11.5,Fully Paid,0,48,36,6,0
2016-09-01,12000.0,6.99,A,A2,MORTGAGE,82000.0,Not Verified,other,WI,11.14,0.0,0.0,12.0,32.0,43142.0,79.9,Current,0,28,36,10,0
2016-06-01,10000.0,15.59,C,C5,MORTGAGE,79689.2,Verified,home_improvement,FL,16.17,0.0,0.0,15.0,28.0,28943.0,50.7,Fully Paid,0,31,60,10,1
2017-05-01,5600.0,7.97,A,A5,MORTGAGE,58000.0,Source Verified,credit_card,OK,26.04,1.0,1.0,11.0,19.0,5271.0,35.9,Late (31-120 days),1,20,36,2,0
2018-03-01,12000.0,9.92,B,B2,MORTGAGE,45000.0,Source Verified,home_improvement,GA,19.79,0.0,1.0,10.0,15.0,6945.0,42.9,Current,0,10,36,10,0
2016-04-01,2800.0,6.49,A,A2,RENT,85000.0,Source Verified,medical,NY,0.73,0.0,2.0,3.0,29.0,501.0,2.2,Fully Paid,0,33,36,3,0
2016-11-01,7200.0,8.24,B,B1,MORTGAGE,80000.0,Not Verified,credit_card,NC,26.58,0.0,0.0,25.0,33.0,21621.0,44.2,Fully Paid,0,26,36,9,0
2018-02-01,8000.0,15.05,C,C4,MORTGAGE,50000.0,Source Verified,debt_consolidation,AL,35.26,0.0,0.0,15.0,21.0,15867.0,54.0,Current,0,11,36,3,0
2015-04-01,18000.0,6.68,A,A3,MORTGAGE,92000.0,Not Verified,home_improvement,NC,9.89,0.0,0.0,12.0,27.0,22932.0,37.0,Fully Paid,0,45,36,10,0
2016-07-01,10000.0,21.49,D,D5,OWN,45000.0,Source Verified,small_business,CO,10.53,0.0,0.0,3.0,6.0,4756.0,61.8,Fully Paid,0,30,36,3,0
2017-11-01,24000.0,11.99,B,B5,MORTGAGE,85000.0,Verified,credit_card,CA,17.27,0.0,0.0,13.0,31.0,12865.0,23.6,Fully Paid,0,14,60,1,0
2018-01-01,6000.0,10.42,B,B3,RENT,78000.0,Source Verified,other,NY,10.29,0.0,1.0,3.0,7.0,2261.0,75.4,Current,0,12,36,4,0
2016-01-01,25000.0,13.18,C,C3,OWN,100000.0,Source Verified,debt_consolidation,CA,20.53,0.0,0.0,10.0,12.0,20615.0,66.7,Fully Paid,0,36,36,3,0
2018-10-01,10500.0,10.47,B,B2,OWN,198000.0,Not Verified,other,TX,13.13,0.0,0.0,17.0,22.0,19453.0,34.3,Current,0,3,36,0,0
2015-11-01,7625.0,14.33,C,C5,RENT,54000.0,Verified,debt_consolidation,CA,26.3,3.0,1.0,13.0,32.0,6150.0,87.9,Fully Paid,0,38,36,10,0
2018-01-01,8000.0,9.93,B,B2,RENT,40000.0,Source Verified,debt_consolidation,FL,21.85,0.0,2.0,13.0,17.0,7986.0,22.6,Fully Paid,0,12,36,5,0
2018-10-01,30000.0,24.37,E,E2,RENT,220000.0,Source Verified,debt_consolidation,VA,20.26,0.0,0.0,27.0,46.0,55253.0,73.8,Current,0,3,36,6,0
2017-06-01,4225.0,7.97,A,A5,RENT,56000.0,Not Verified,moving,GA,30.28,2.0,0.0,13.0,18.0,13344.0,33.0,Current,0,19,36,5,0
2017-03-01,18000.0,8.24,B,B1,MORTGAGE,175000.0,Not Verified,debt_consolidation,PA,11.52,0.0,3.0,11.0,30.0,23618.0,29.4,Fully Paid,0,22,36,7,0
2016-04-01,6075.0,20.75,E,E2,RENT,30000.0,Verified,debt_consolidation,AZ,34.24,2.0,0.0,17.0,20.0,1325.0,88.3,Charged Off,1,33,36,1,0
2018-03-01,15000.0,11.98,B,B5,RENT,38000.0,Not Verified,debt_consolidation,NY,16.9,0.0,0.0,7.0,7.0,5761.0,58.2,Current,0,10,36,10,0
2015-08-01,20000.0,9.99,B,B3,RENT,70000.0,Source Verified,debt_consolidation,CA,11.43,0.0,0.0,7.0,22.0,19140.0,52.4,Fully Paid,0,41,36,10,0
2018-01-01,25000.0,24.85,E,E3,RENT,60000.0,Verified,debt_consolidation,CA,23.02,0.0,0.0,15.0,23.0,36421.0,70.7,Current,0,12,36,10,0
2016-07-01,12300.0,27.49,F,F4,RENT,35200.0,Verified,debt_consolidation,GA,29.49,0.0,2.0,19.0,28.0,15219.0,50.0,Late (31-120 days),1,30,60,10,0
2018-09-01,24400.0,18.94,D,D2,MORTGAGE,188000.0,Source Verified,home_improvement,NC,8.51,0.0,0.0,7.0,15.0,15808.0,69.6,Current,0,4,60,0,0
2018-10-01,15000.0,11.06,B,B3,RENT,70000.0,Not Verified,debt_consolidation,TX,22.73,1.0,0.0,15.0,23.0,22594.0,41.2,Current,0,3,36,0,0
2015-11-01,18900.0,12.05,C,C1,RENT,90000.0,Not Verified,debt_consolidation,TX,17.64,0.0,0.0,8.0,34.0,17941.0,62.1,Charged Off,1,38,60,2,0
2017-02-01,25800.0,11.49,B,B5,MORTGAGE,150000.0,Not Verified,debt_consolidation,CA,0.45,0.0,0.0,6.0,20.0,4544.0,24.2,Fully Paid,0,23,36,6,0
2018-02-01,15000.0,11.99,B,B5,MORTGAGE,195000.0,Source Verified,home_improvement,CA,16.74,0.0,3.0,30.0,61.0,2140.0,0.7,Fully Paid,0,11,60,10,0
2015-01-01,9000.0,8.19,A,A5,RENT,40000.0,Source Verified,debt_consolidation,CA,20.55,0.0,0.0,8.0,21.0,9694.0,55.7,Fully Paid,0,48,36,6,0
2018-01-01,6000.0,6.08,A,A2,RENT,30000.0,Not Verified,debt_consolidation,VT,8.16,0.0,0.0,7.0,21.0,5094.0,9.3,Current,0,12,36,10,0
2018-06-01,1500.0,11.05,B,B4,RENT,32500.0,Verified,moving,WI,27.99,0.0,1.0,15.0,24.0,8046.0,27.5,Current,0,7,36,4,0
